Scale,Dataset,Algorithm,Cost,Time (s)
300,er,GAEC,2725.3967019049915,0.0
300,er,SS2V (Pure Paper),3307.3956493395112,5.665078215301037
300,er,SS2V (One-Step Hybrid),3290.976667425377,3.6687440806999803
300,er,SS2V (Active MPC),3289.0047231991775,13.495777926407754
300,ba,GAEC,21.925104976903338,0.0
300,ba,SS2V (Pure Paper),106.40171622793423,2.680338341742754
300,ba,SS2V (One-Step Hybrid),106.15435776706242,2.1003283988684416
300,ba,SS2V (Active MPC),106.8017498338789,14.006648618727922
500,er,GAEC,7974.4160169281895,0.0
500,er,SS2V (Pure Paper),9290.074717088768,25.629347168840468
500,er,SS2V (One-Step Hybrid),9273.47903987614,28.8946710024029
500,er,SS2V (Active MPC),9276.031199454368,147.82520134467632
500,ba,GAEC,28.161383122128125,0.0
500,ba,SS2V (Pure Paper),191.97382590904212,26.67678248230368
500,ba,SS2V (One-Step Hybrid),197.3618435196889,20.126162820495665
500,ba,SS2V (Active MPC),195.45757793899006,131.2103481674567
